Tamanho do Download (KB),Data do Download,Fuso Horário,Nome do Arquivo,Início do Ciclo AD,Tipo de Arquivo,Horário Sinótico,Tipo de Observação,Data da Observação
818118656,2025-03-08 14:40:38,+0000,gdas.t06z.mtiasi.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,mtiasi,2025-02-20 06:00:00
0,2025-03-08 14:40:20,+0000,gdas.t06z.osbuv8.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,osbuv8,2025-02-20 06:00:00
54915632,2025-03-08 14:40:15,+0000,gdas.t06z.prepbufr.nr.20250220,2025-03-08 14:41:22,gdas,06,prepbufr,2025-02-20 06:00:00
104250520,2025-03-08 14:40:27,+0000,gdas.t06z.satwnd.tm00.bufr_d.20250220,2025-03-08 14:41:22,gdas,06,satwnd,2025-02-20 06:00:00
14173088,2025-03-08 15:15:12,+0000,gdas.t12z.1bamua.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,1bamua,2025-02-20 12:00:00
15540760,2025-03-08 15:15:16,+0000,gdas.t12z.1bhrs4.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,1bhrs4,2025-02-20 12:00:00
0,2025-03-08 15:15:10,+0000,gdas.t12z.airsev.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,airsev,2025-02-20 12:00:00
217354712,2025-03-08 15:15:25,+0000,gdas.t12z.atms.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,atms,2025-02-20 12:00:00
1486443000,2025-03-08 15:15:54,+0000,gdas.t12z.crisf4.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,crisf4,2025-02-20 12:00:00
26346728,2025-03-08 15:15:17,+0000,gdas.t12z.eshrs3.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,eshrs3,2025-02-20 12:00:00
55191336,2025-03-08 15:15:19,+0000,gdas.t12z.esmhs.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,esmhs,2025-02-20 12:00:00
10774824,2025-03-08 15:15:21,+0000,gdas.t12z.gome.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,gome,2025-02-20 12:00:00
1929280,2025-03-08 15:15:13,+0000,gdas.t12z.gpsipw.tm00.bufr_d.nr.20250220,2025-03-08 15:16:19,gdas,12,gpsipw,2025-02-20 12:00:00
55886432,2025-03-08 15:15:38,+0000,gdas.t12z.gpsro.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,gpsro,2025-02-20 12:00:00
827973712,2025-03-08 15:15:36,+0000,gdas.t12z.mtiasi.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,mtiasi,2025-02-20 12:00:00
0,2025-03-08 15:15:20,+0000,gdas.t12z.osbuv8.tm00.bufr_d.20250220,2025-03-08 15:16:19,gdas,12,osbuv8,2025-02-20 12:00:00
